Group,Command,Syntax,Callback
geo,GEOPOS,command_key_members,render_list
geo,GEORADIUS,command_radius,render_list_or_string
geo,GEORADIUSBYMEMBER,command_georadiusbymember,render_list_or_string
hash,HDEL,command_key_fields,render_int
hash,HEXISTS,command_key_field,render_int
hash,HGET,command_key_field,render_bulk_string
hash,HGETALL,command_key,render_hash_pairs
hash,HINCRBY,command_key_field_delta,render_int
hash,HINCRBYFLOAT,command_key_field_float,render_bulk_string
hash,HKEYS,command_key,command_hkeys
hash,HLEN,command_key,render_int
hash,HMGET,command_key_fields,render_list
hash,HMSET,command_key_fieldvalues,render_bulk_string
hash,HSCAN,command_key_cursor_match_pattern_count,command_hscan
hash,HSET,command_key_field_value,render_int
hash,HSETNX,command_key_field_value,render_int
hash,HSTRLEN,command_key_field,render_int
hash,HVALS,command_key,render_list
hyperloglog,PFADD,command_key_values,render_int
hyperloglog,PFCOUNT,command_keys,render_int
hyperloglog,PFMERGE,command_newkey_keys,render_simple_string
list,BLPOP,command_keys_timeout,render_list_or_string
list,BRPOP,command_keys_timeout,render_list_or_string
list,BRPOPLPUSH,command_key_newkey_timeout,render_bulk_string
list,LINDEX,command_key_position,render_bulk_string
list,LINSERT,command_key_positionchoice_pivot_value,render_int
list,LLEN,command_key,render_int
list,LPOP,command_key,render_bulk_string
list,LPUSH,command_key_values,render_int
list,LPUSHX,command_key_value,render_int
list,LRANGE,command_key_start_end,render_list
list,LREM,command_key_position_value,render_int
list,LSET,command_key_position_value,render_simple_string
list,LTRIM,command_key_start_end,render_simple_string
list,RPOP,command_key,render_bulk_string
list,RPOPLPUSH,command_key_newkey,render_bulk_string
list,RPUSH,command_key_values,render_int
list,RPUSHX,command_key_value,render_int
pubsub,PSUBSCRIBE,command_pass,
pubsub,PUBLISH,command_pass,
pubsub,PUBSUB,command_pass,
pubsub,PUNSUBSCRIBE,command_pass,
pubsub,SUBSCRIBE,command_pass,
pubsub,UNSUBSCRIBE,command_pass,
scripting,EVAL,command_pass,
scripting,EVALSHA,command_pass,
scripting,SCRIPT DEBUG,command_pass,
scripting,SCRIPT EXISTS,command_pass,
scripting,SCRIPT FLUSH,command_pass,
scripting,SCRIPT KILL,command_pass,
scripting,SCRIPT LOAD,command_pass,
server,BGREWRITEAOF,command,render_simple_string
server,BGSAVE,command,render_simple_string
server,CLIENT GETNAME,command,render_bulk_string
server,CLIENT ID,command,render_int
server,CLIENT KILL,command_clientkill,render_string_or_int
server,CLIENT LIST,command_type_conntype_x,render_bulk_string_decode
server,CLIENT PAUSE,command_timeout,render_simple_string
server,CLIENT REPLY,command_switch,render_simple_string
server,CLIENT SETNAME,command_value,render_simple_string
server,CLIENT UNBLOCK,command_clientid_errorx,render_int
server,COMMAND,command,render_list
server,COMMAND COUNT,command,render_int
server,COMMAND GETKEYS,command_any,render_list
server,COMMAND INFO,command_commandname,render_list
server,CONFIG GET,command_parameter,render_nested_pair
server,CONFIG RESETSTAT,command,render_simple_string
server,CONFIG REWRITE,command,render_simple_string
server,CONFIG SET,command_parameter_value,render_simple_string
server,DBSIZE,command,render_int
server,DEBUG OBJECT,command_key,render_simple_string
server,DEBUG SEGFAULT,command,render_simple_string
server,FLUSHALL,command_asyncx,render_simple_string
server,FLUSHDB,command_asyncx,render_simple_string
server,INFO,command,render_bulk_string_decode
server,LASTSAVE,command,render_unixtime
server,MEMORY DOCTOR,command,render_bulk_string_decode
server,MEMORY HELP,command,render_list
server,MEMORY MALLOC-STATS,command,render_bulk_string_decode
server,MEMORY PURGE,command,render_simple_string
server,MEMORY STATS,command,render_nested_pair
server,MEMORY USAGE,command_key_samples_count,render_int
server,MONITOR,command,render_simple_string
server,REPLICAOF,command_any,render_simple_string
server,ROLE,command,render_list
server,SAVE,command,render_simple_string
server,SHUTDOWN,command_shutdown,render_simple_string
server,SLAVEOF,command_any,render_simple_string
server,SLOWLOG,command_slowlog,render_slowlog
server,SYNC,command,render_bulk_string
server,TIME,command,render_time
set,SADD,command_key_members,render_int
set,SCARD,command_key,render_int
set,SDIFF,command_keys,render_list
set,SDIFFSTORE,command_destination_keys,render_int
set,SINTER,command_keys,render_list
set,SINTERSTORE,command_destination_keys,render_int
set,SISMEMBER,command_key_member,render_int
set,SMEMBERS,command_key,render_list
set,SMOVE,command_key_newkey_member,render_int
set,SPOP,command_key_count_x,render_list_or_string
set,SRANDMEMBER,command_key_count_x,render_list_or_string
set,SREM,command_key_members,render_int
set,SSCAN,command_key_cursor_match_pattern_count,command_sscan
set,SUNION,command_keys,render_list
set,SUNIONSTORE,command_destination_keys,render_int
sorted_set,BZPOPMAX,command_keys_timeout,render_list_or_string
sorted_set,BZPOPMIN,command_keys_timeout,render_list_or_string
sorted_set,ZADD,command_key_condition_changed_incr_score_members,render_string_or_int
sorted_set,ZCARD,command_key,render_int
sorted_set,ZCOUNT,command_key_min_max,render_int
sorted_set,ZINCRBY,command_key_float_member,render_bulk_string
sorted_set,ZINTERSTORE,command_any,render_int
sorted_set,ZLEXCOUNT,command_key_lexmin_lexmax,render_int
sorted_set,ZPOPMAX,command_key_count_x,render_members
sorted_set,ZPOPMIN,command_key_count_x,render_members
sorted_set,ZRANGE,command_key_start_end_withscores_x,render_members
sorted_set,ZRANGEBYLEX,command_key_lexmin_lexmax_limit_offset_count,render_list
sorted_set,ZRANGEBYSCORE,command_key_min_max_withscore_x_limit_offset_count_x,render_members
sorted_set,ZRANK,command_key_member,render_int
sorted_set,ZREM,command_key_members,render_int
sorted_set,ZREMRANGEBYLEX,command_key_lexmin_lexmax,render_int
sorted_set,ZREMRANGEBYRANK,command_key_start_end,render_int
sorted_set,ZREMRANGEBYSCORE,command_key_min_max,render_int
sorted_set,ZREVRANGE,command_key_start_end_withscores_x,render_list
sorted_set,ZREVRANGEBYLEX,command_key_lexmin_lexmax_limit_offset_count,render_list
sorted_set,ZREVRANGEBYSCORE,command_key_min_max_withscore_x_limit_offset_count_x,render_list
sorted_set,ZREVRANK,command_key_member,render_int
sorted_set,ZSCAN,command_key_cursor_match_pattern_count,command_sscan
sorted_set,ZSCORE,command_key_member,render_bulk_string
sorted_set,ZUNIONSTORE,command_any,render_int
stream,XACK,command_pass,
stream,XADD,command_pass,
stream,XCLAIM,command_pass,
stream,XDEL,command_pass,
stream,XGROUP,command_pass,
stream,XINFO,command_pass,
stream,XLEN,command_pass,
stream,XPENDING,command_pass,
stream,XRANGE,command_pass,
stream,XREAD,command_pass,
stream,XREADGROUP,command_pass,
stream,XREVRANGE,command_pass,
stream,XTRIM,command_pass,
string,APPEND,command_key_value,render_int
string,BITCOUNT,command_key_start_end_x,render_int
string,BITFIELD,command_pass,render_list
string,BITOP,command_operation_key_keys,render_int
string,BITPOS,command_key_bit_start_end,render_int
string,DECR,command_key,render_int
string,DECRBY,command_key_delta,render_int
string,GET,command_key,render_bulk_string
string,GETBIT,command_key_offset,render_int
string,GETRANGE,command_key_start_end,render_bulk_string
string,GETSET,command_key_value,render_bulk_string
string,INCR,command_key,render_int
string,INCRBY,command_key_delta,render_int
string,INCRBYFLOAT,command_key_float,render_bulk_string
string,MGET,command_keys,render_list
string,MSET,command_key_valuess,render_simple_string
string,MSETNX,command_key_valuess,render_int
string,PSETEX,command_key_millisecond_value,render_bulk_string
string,SET,command_key_value_expiration_condition,render_simple_string
string,SETBIT,command_key_offset_bit,render_int
string,SETEX,command_key_second_value,render_bulk_string
string,SETNX,command_key_value,render_int
string,SETRANGE,command_key_offset_value,render_int
string,STRLEN,command_key,render_int
transactions,DISCARD,command,render_simple_string
transactions,EXEC,command,render_list
transactions,MULTI,command,render_simple_string
transactions,UNWATCH,command,render_simple_string
transactions,WATCH,command_keys,render_simple_string
iredis,HELP,command_commandname,
